"Trade Id"	Market	"Opened Datetime"	"Closed Datetime"	Quantity	"Opened Price"	"Closed Price"	Result	Swap	Income
07101627-0000-5552-0000-000080bc36b8	"Germany 40"	"2023-05-15 19:20:22"	"2023-05-16 07:51:13"	3	15941.3	15960.2	56.7	-9.23	47.47
07101627-0000-5552-0000-000080bc3e3c	"Germany 40"	"2023-05-16 06:59:55"	"2023-05-16 07:32:53"	3	15889.3	15948.3	177	0	177
07101627-0000-5552-0000-000080bc36b7	"Germany 40"	"2023-05-15 19:20:22"	"2023-05-16 06:33:26"	-3	15939.8	15897.3	127.5	-1.4	126.1
07101627-0000-5552-0000-000080bc235d	"Germany 40"	"2023-05-15 12:55:42"	"2023-05-15 16:36:59"	2	15894.7	15920.8	52.2	0	52.2
07101627-0000-5552-0000-000080bc24dc	"Germany 40"	"2023-05-15 13:10:27"	"2023-05-15 16:36:59"	3	15878.7	15920.8	126.3	0	126.3
07101627-0000-5552-0000-000080ba358d	"Germany 40"	"2023-05-12 07:30:19"	"2023-05-15 13:07:42"	-3	15872.3	15879.2	-20.7	-4.2	-24.9
07101627-0000-5552-0000-000080ba4b90	"Germany 40"	"2023-05-12 13:10:04"	"2023-05-15 12:59:37"	-3	15888.3	15888.2	0.3	-4.2	-3.9
07101627-0000-5552-0000-000080bc1bd2	"Germany 40"	"2023-05-15 10:45:05"	"2023-05-15 12:38:27"	-2	15960.4	15899.7	121.4	0	121.4
07101627-0000-5552-0000-000080ba559a	"Germany 40"	"2023-05-12 16:18:11"	"2023-05-15 05:24:13"	3	15900	15935.2	105.6	-27.6	78
07101627-0000-5552-0000-000080ba4f27	"Germany 40"	"2023-05-12 14:13:30"	"2023-05-12 14:15:04"	3	15909	15909	0	0	0
07101627-0000-5552-0000-000080ba4a19	"Germany 40"	"2023-05-12 12:45:38"	"2023-05-12 13:03:03"	3	15903.8	15891.3	-37.5	0	-37.5
07101627-0000-5552-0000-000080ba25d5	"Germany 40"	"2023-05-11 18:38:45"	"2023-05-12 07:30:19"	3	15838.4	15872.3	101.7	-9.18	92.52
07101627-0000-5552-0000-000080ba1104	"Germany 40"	"2023-05-11 13:50:44"	"2023-05-11 16:47:48"	3	15779.5	15842.8	189.9	0	189.9
07101627-0000-5552-0000-000080ba0996	"Germany 40"	"2023-05-11 12:59:43"	"2023-05-11 16:47:45"	2	15830	15842.8	25.6	0	25.6
07101627-0000-5552-0000-000080b9ee08	"Germany 40"	"2023-05-11 07:39:12"	"2023-05-11 11:16:58"	-2	15961.3	15880.9	160.8	0	160.8
07101627-0000-5552-0000-000080b9e50a	"Germany 40"	"2023-05-11 06:40:31"	"2023-05-11 11:12:11"	-2	15907.3	15889.9	34.8	0	34.8
07101627-0000-5552-0000-000080b9e383	"Germany 40"	"2023-05-11 06:06:14"	"2023-05-11 07:01:01"	2	15924.8	15928.3	7	0	7
07101627-0000-5552-0000-000080b9add7	"Germany 40"	"2023-05-10 09:42:57"	"2023-05-10 10:57:52"	2	15912.4	15915.9	7	0	7
